,MAE,RCPE
count,29.0,29.0
mean,0.15127539518055655,0.8712062714444808
std,0.15815749543403312,1.6949362427072967
min,0.0029666429110935763,0.036293222620256846
25%,0.035487540095193046,0.2354815739338774
50%,0.08736535363878524,0.38772652301995275
75%,0.1903107771192278,0.6422466005057458
max,0.584212647846767,6.998216166610811
