,MAE,RCPE
count,249.0,249.0
mean,0.17168902054467697,0.25648450867982425
std,0.1986976634257725,0.40162814902940935
min,0.0021440755435398634,0.00016995371174486926
25%,0.06607229052952358,0.0456481287556306
50%,0.1274835105759757,0.13557148138668104
75%,0.2026398516246251,0.31040315123109324
max,1.6748760538918632,3.9107749232443565
