,WellNo,MAE,RCPE
0,SN0138-05,0.08643078200476509,0.47216309740228873
0,SN0165-01,0.03740743514469693,0.2354815739338774
0,SN0142-02,0.035487540095193046,0.2675532788625172
0,SN0023-05,0.14366098491123744,0.4734238207768963
0,SN0024-01,0.10704285646166121,0.38772652301995275
0,SN0024-03,0.029343585722787027,0.15883475105127529
0,SN0024-08,0.0716932568686349,0.26929042454498836
0,SN0024-14,0.04383429591315134,0.58509073294799
0,SN0083-07,0.0307070005280631,0.18515504695001417
0,SN0085-08,0.13959645254952563,0.3128495260427077
0,SN0166-07,0.19813818747656683,0.6570150256440618
0,SN0145-01,0.1903107771192278,0.6562605061648714
0,SN0145-09,0.022482775361197332,0.25555725352099884
0,SN0145-06,0.08589642268589566,0.488885482357872
0,SN0004-01,0.03360772735050746,1.2755590771691587
0,SN0003-06,0.038735875415802,1.5507892377277805
0,SN0015-07,0.08736535363878524,0.6898085138804071
0,SN0043-02i,0.01500713160378592,0.052566422385348754
0,SN0041-04,0.0029666429110935763,0.10496911565006961
0,SN0041-07,0.17330269434792656,0.036293222620256846
0,SN0132-07,0.15183292429787773,0.06761846131754674
0,SN0016-03,0.13980666487557547,0.3367096694061683
0,SN0103-03,0.031946977724347826,0.04897180714409583
0,SN0038-09,0.5083316237858363,6.730700414611478
0,SN0038-03,0.3043020025253296,0.630888435081233
0,SN0038-04,0.24928243555341442,0.2631500295325096
0,SU022,0.3352027224949428,0.4312076550270192
0,SN0197-07,0.584212647846767,6.998216166610811
0,SN0046-03,0.5090506830215454,0.6422466005057458
