,MAE,RCPE
count,327.0,327.0
mean,0.2147268788194801,0.1317711012827941
std,0.2794192680014939,0.24517618317933054
min,0.015912936414991093,3.6011909920805595e-06
25%,0.06269099631990703,0.017978422546884955
50%,0.12499740807669506,0.050329719932581625
75%,0.22127936530794415,0.12165975888162717
max,2.176553111607688,2.858482551418728
