,MAE,RCPE
count,326.0,326.0
mean,0.5842190980738784,0.2822152523164451
std,0.6738455400945569,0.3003481042929814
min,0.028411944499545636,0.001275410317713298
25%,0.15549819501347012,0.06105590659526794
50%,0.3353377782800463,0.15519955480715997
75%,0.7983558757940927,0.3793674475630481
max,5.130362882020738,1.0529143361110125
