,MAE,RCPE
count,29.0,29.0
mean,0.31549838242836187,0.9298462066541384
std,0.3045535940512229,0.14052624616412268
min,0.026576564080374586,0.33237887771335956
25%,0.08389775543212889,0.9436077061159419
50%,0.18371082284109938,0.9750727955269216
75%,0.44418976249694825,0.9891828179721447
max,1.0105304466247558,1.0802125866648702
