,MAE,RCPE
count,105.0,105.0
mean,0.22052778158407865,2.034163177987464
std,0.3447234186259025,3.2263539119466205
min,0.012737017296685114,0.13487299041096673
25%,0.05393293403625488,1.030832423145496
50%,0.10793490695105658,1.1534166471323024
75%,0.22927818843417697,1.4845493256566493
max,2.454574457363553,24.831637030352134
