,MAE,RCPE
count,334.0,334.0
mean,0.6023171229070929,0.670322407447683
std,0.5471315412975243,0.3804717242574892
min,0.086923268055386,0.00165191816907789
25%,0.30416513623502517,0.32841773935026763
50%,0.43592758660634356,0.7431457278894456
75%,0.6287671121528413,0.9983573565691237
max,3.178675412190756,2.9702124850812206
