,MAE,RCPE
count,249.0,249.0
mean,0.48824061494117066,0.7271866477309211
std,0.5798134096234052,0.9383401667297845
min,0.015890025533948627,0.0029594912806512235
25%,0.16997317985807145,0.2945139516889395
50%,0.3046562898227147,0.6312263807603149
75%,0.5245849248341151,0.9561319613234673
max,3.7015314870561875,10.442778210987075
