,MAE,RCPE
count,327.0,327.0
mean,0.516764417887713,0.3624530805430795
std,0.6675741602237081,0.650384030981462
min,0.022142703628540046,8.969305474532558e-05
25%,0.08549323008401054,0.0262234229979578
50%,0.23451629665919713,0.07442266982150746
75%,0.6603722111020769,0.4119155808330466
max,4.220854580034528,4.825532290225852
