,WellNo,MAE,RCPE
0,SN0116-04,0.02491360462733678,0.008597666515314933
0,SN0112-08,0.3097561707905361,0.9827994878239107
0,SN0112-02,0.2790427902630398,0.8306994710456549
0,SN0112-04,0.4932491111210415,0.9707882806330642
0,SN0112-05,0.437231705570221,0.7997823531654347
0,SN0112-06,0.14167352536065242,0.13062743426196868
0,SN0138-06,0.5245849248341151,0.9916138884342547
0,SN0136-01,0.14203338635308402,0.510937717494007
0,SN0136-03,0.19100149635587424,0.8407594959097215
0,SN0136-06,0.37032167363848006,0.9878088198121044
0,SN0106-09,0.42338006775719783,0.6767293781928504
0,SN0106-03,0.09693189056941441,0.07579099763797664
0,SN0106-04,0.24355477158682687,0.9807458089663053
0,SN0135-08,0.12288776973996843,0.38606885417599135
0,SN0135-09,0.16137761944362097,0.6083436258170636
0,SN0086-04,0.15387797775268558,0.9718901419009283
0,SN0108-03,0.3091662411281041,0.4592901539285035
0,SN0108-04,0.23166062766483853,0.15793456677559106
0,SN0104-03,0.06269454699925014,0.027748353793037042
0,SN0104-05,0.3720859145845686,0.9885792795340451
0,SN0104-07,0.09984194014413014,0.9486489019112359
0,SN0084-03,0.16824475739342823,0.4541731800360097
0,SN0104-06,0.17465885377611437,0.5932321000492913
0,SN0084-05,1.9077884704862325,0.9978500427833058
0,SN0144-01,0.33459428727286206,0.9472912433132038
0,SN0144-07,0.1836904772077288,0.38204742965406824
0,SN0167-09,0.1754079490661621,0.03537444562278107
0,SN0167-07,0.350829572895595,0.9880128814597738
0,SN0049-03,0.1115139135633196,0.7218694414286153
0,SN0049-05,0.24306653748920987,0.8926119415208161
0,SN0049-06,0.19413633669444494,0.8212065620238564
0,SN0049-08,0.24887036764962334,0.7608135621889773
0,SN0049-09,0.11897637019838606,0.3239483328113368
0,SN0165-04,0.43864871060507643,0.014742169296699165
0,SN0165-05,0.7059691361427307,0.5617526098121175
0,SN0165-07,0.06674617500305176,0.05458098219391696
0,SN0165-02,0.8259182650021144,0.8149168786257179
0,SN0167-03,0.7374918115343366,0.9936656046832938
0,SN0143-05,0.5591545524869647,0.8711123180380914
0,SN0143-08,0.509153999546596,0.9915389619635407
0,SN0142-04,0.04621307769502912,0.0044739753382280235
0,SN0023-01,0.21994552233559744,0.6312263807603149
0,SN0023-07,0.5846218623978751,0.5816794682499289
0,SN0083-08,0.1492639466558184,0.4105402624580836
0,SN0023-15,0.2537624316624233,0.6460400517356135
0,SN0055-03,0.14554173725673133,0.8877737770138496
0,SN0055-04,0.3891112048012871,0.941977880714655
0,SN0055-05,0.27647907109941755,0.8206608446444332
0,SN0024-07,0.6084790631975446,0.9928527478912856
0,SN0083-05,0.17716461781093054,0.40807904095663833
0,SN0023-02H,0.24057105522155764,0.6701099809686626
0,SN0168-06,0.5175556805474418,0.4829436131174937
0,SN0168-03,0.36178482279096336,0.80676310054911
0,SN0168-04,1.1999177016122,0.9920998322514337
0,SN0168-05,0.12868578442164827,0.9664451695109881
0,SN0002-02,0.07890420725686209,0.9331473877308298
0,SN0085-01,0.06982018583842686,0.10531773783756126
0,SN0085-06,0.27357090699332104,0.3369436807939694
0,SN0085-07,0.0888685328074864,0.35545967798186934
0,SN0024-09H,1.8989957759584701,0.9975450362980788
0,SN0024-04H,0.23332188025883266,0.9704394950245199
0,SN0166-02,0.3364589824676513,0.9884673214833671
0,SN0166-06,0.2551589022772653,0.5836396157046227
0,SN0145-04,0.3336443645204817,0.9843791425202539
0,SN0166-08,0.3267724125180926,0.9832557949385059
0,SN0145-08,0.14548392079217093,0.3571284142027463
0,SN0174-06,0.2546260778427124,0.9719874624722682
0,SN0174-01,1.0757389207022532,4.839753789930541
0,SN0051-05,0.44145851176125667,1.209821375665183
0,SN0051-07,0.4735932369777135,0.2685138682953745
0,SN0051-03,0.40763212197167537,0.26589054357308367
0,SN0051-09,0.2163427739007133,0.7380033203360491
0,SN0051-08,0.26998848528180813,0.8587357227035158
0,SN0105-02,0.41241779275621687,0.9871738549166562
0,SN0105-04,0.09148457935878208,0.9453484763940329
0,SN0113-03,0.3147827299935478,0.810317111774837
0,SN0113-08,0.06935442036220006,0.1271792054473003
0,SN0113-05,0.139378406388419,0.6743872540648495
0,SN0113-04,0.3027791687692915,0.6111021280991995
0,SN0030-10,0.429809784752982,0.5469284672329976
0,SN0030-01,0.07664077271052769,0.9360579554936066
0,SN0030-08,0.26093899705069407,0.944251855880068
0,SN0030-07,0.9440047276633126,0.8237497609650425
0,SN0030-09,0.015890025533948627,0.06578112678445411
0,SN0004-03,0.16450131724221367,0.9689105794083472
0,SN0004-09,0.4333553306715829,0.7327142660596832
0,SN0113-02,0.0660561271122524,0.05306136481039065
0,SN0004-02,0.21630405642645703,0.7613939552753515
0,SN0004-06,0.1901312108176095,0.9738614181781835
0,SN0004-07,0.5275979203905378,0.3790415802030707
